Order ID,Order Date,Category,Sales,Profit,Region
CA-2016-152156,2016-11-08,Furniture,261.96,41.9136,South
CA-2016-152156,2016-11-08,Furniture,731.94,219.582,South
CA-2016-138688,2016-06-12,Office Supplies,14.62,6.8714,West
US-2015-108966,2015-10-11,Furniture,957.5775,-383.031,South
US-2015-108966,2015-10-11,Office Supplies,22.368,2.5164,South
CA-2014-115812,2014-06-09,Furniture,48.86,14.1694,West
CA-2014-115812,2014-06-09,Office Supplies,7.28,1.9656,West
CA-2014-115812,2014-06-09,Technology,907.152,90.7152,West
CA-2014-115812,2014-06-09,Office Supplies,18.504,5.7825,West
CA-2014-115812,2014-06-09,Office Supplies,114.9,34.47,West
CA-2014-115812,2014-06-09,Furniture,1706.184,85.3092,West
CA-2014-115812,2014-06-09,Technology,911.424,68.3568,West
CA-2017-114412,2017-04-15,Office Supplies,15.552,5.4432,South
CA-2016-161389,2016-12-05,Office Supplies,407.976,132.5922,West
US-2015-118983,2015-11-22,Office Supplies,68.81,-123.858,Central
US-2015-118983,2015-11-22,Office Supplies,2.544,-3.816,Central
CA-2014-105893,2014-11-11,Office Supplies,665.88,13.3176,Central
CA-2014-167164,2014-05-13,Office Supplies,55.5,9.99,West
CA-2014-143336,2014-08-27,Office Supplies,8.56,2.4824,West
CA-2014-143336,2014-08-27,Technology,213.48,16.011,West
CA-2014-143336,2014-08-27,Office Supplies,22.72,7.384,West
CA-2016-137330,2016-12-09,Office Supplies,19.46,5.0596,Central
CA-2016-137330,2016-12-09,Office Supplies,60.34,15.6884,Central
US-2017-156909,2017-07-16,Furniture,71.372,-1.0196,East
CA-2015-106320,2015-09-25,Furniture,1044.63,240.2649,West
CA-2016-121755,2016-01-16,Office Supplies,11.648,4.2224,West
CA-2016-121755,2016-01-16,Technology,90.57,11.7741,West
US-2015-150630,2015-09-17,Furniture,3083.43,-1665.0522,East
US-2015-150630,2015-09-17,Office Supplies,9.618,-7.0532,East
US-2015-150630,2015-09-17,Furniture,124.2,15.525,East
US-2015-150630,2015-09-17,Office Supplies,3.264,1.1016,East
US-2015-150630,2015-09-17,Office Supplies,86.304,9.7092,East
US-2015-150630,2015-09-17,Office Supplies,6.858,-5.715,East
US-2015-150630,2015-09-17,Office Supplies,15.76,3.546,East
CA-2017-107727,2017-10-19,Office Supplies,29.472,9.9468,Central
CA-2016-117590,2016-12-08,Technology,1097.544,123.4737,Central
CA-2016-117590,2016-12-08,Furniture,190.92,-147.963,Central
CA-2015-117415,2015-12-27,Office Supplies,113.328,35.415,Central
CA-2015-117415,2015-12-27,Furniture,532.3992,-46.9764,Central
CA-2015-117415,2015-12-27,Furniture,212.058,-15.147,Central
CA-2015-117415,2015-12-27,Technology,371.168,41.7564,Central
CA-2017-120999,2017-09-10,Technology,147.168,16.5564,Central
CA-2016-101343,2016-07-17,Office Supplies,77.88,3.894,West
CA-2017-139619,2017-09-19,Office Supplies,95.616,9.5616,South
CA-2016-118255,2016-03-11,Technology,45.98,19.7714,Central
CA-2016-118255,2016-03-11,Office Supplies,17.46,8.2062,Central
CA-2014-146703,2014-10-20,Office Supplies,211.96,8.4784,Central
CA-2016-169194,2016-06-20,Technology,45.0,4.95,East
